Article,Label
The government has introduced a new policy aimed at providing financial assistance and tax benefits to small businesses affected by the economic downturn. Officials say this move will help revive the economy.,Real News
The government has introduced a new policy aimed at providing financial assistance and tax benefits to small businesses affected by the economic downturn. Officials say this move will help revive the economy.,Real News
The government has introduced a new policy aimed at providing financial assistance and tax benefits to small businesses affected by the economic downturn. Officials say this move will help revive the economy.,Real News
The government has introduced a new policy aimed at providing financial assistance and tax benefits to small businesses affected by the economic downturn. Officials say this move will help revive the economy.,Real News
The World Health Organization (WHO) confirms that regular handwashing helps prevent the spread of diseases.,Real News
Scientists confirm that drinking bleach can cure COVID-19 instantly.,Fake News
"Aliens have landed in New York, and the government is hiding the truth.",Fake News
5G networks are responsible for spreading the coronavirus.,Fake News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
"5G नेटवर्क से इंसानों में जानलेवा बीमारियां फैल रही हैं| हाल ही में एक रिपोर्ट में दावा किया गया कि 5G नेटवर्क से रेडिएशन निकलता है, जो इंसानों में गंभीर बीमारियों का कारण बन सकता है। विशेषज्ञों का कहना है कि 5G के कारण कैंसर, ब्रेन ट्यूमर और हार्ट अटैक के मामले बढ़ रहे हैं। कई देशों ने 5G सेवाओं को अस्थायी रूप से बंद कर दिया है।",Fake News
"India's Economic Growth: India's GDP growth remains strong, with recent reports showing a positive economic outlook.",Real News
hello,Fake News
modi ji kidnapeed by slaves,Fake News
modi ji kidnapeed by slaves,Fake News
pm modi is died due to crash.,Fake News
pm modi is died due to crash,Fake News
pm modi is died due to crash,Fake News
pm modi is died due to crash,Fake News
pm modi is died due to crash,Fake News
pm modi is died due to crash,Fake News
pm modi is died due to crash,Fake News
pm modi is died due to crash,Fake News
modi ji kidnapped,Fake News
modi ji kidnapped,Fake News
pm modi is died due to crash.,Fake News
modi ji kidnapped,Fake News
modi,Fake News
modi ji kidnapped,Fake News
narendra modi is the prime minister of india,Real News
narendra modi is the prime minister of india,Real News
narendra modi is the prime minister of india,Real News
narendra modi is the prime minister of india,Real News
hello,Fake News
modi ji rapped,Fake News
hello,Fake News
modi ji rapped,Fake News
modi ji pm,Fake News
modi ji died,Fake News
modi ji died,Fake News
hell,Fake News
modi ji died,Fake News
"Nagpur violence updates: CM Fadnavis, dy CM Shinde say clash was a ‘pre-planned conspiracy’",Real News
"Nagpur violence updates: CM Fadnavis, dy CM Shinde say clash was a ‘pre-planned conspiracy’",Real News
You won't believe what Modi did to Trump!,Fake News
"CM Fadnavis, dy CM Shinde say clash was a ‘pre-planned conspiracy",Real News
modi ji kidnapped,Fake News
"CM Fadnavis, dy CM Shinde say clash was a ‘pre-planned conspiracy",Real News
